load_zone,timestamp,ZoneTotalDistributedDispatch,InjectIntoDistributedGrid,zone_demand_mw,ShiftDemand
inside_lvliang,1,0.0,2344.6762344515296,-2441.535983,96.85974854847063
inside_lvliang,2,0.0,2339.336817665067,-2424.081988,84.74517033493294
inside_lvliang,3,0.0,2332.7400479088,-2396.420806,63.680758091200005
inside_lvliang,4,0.0,2326.1432785500006,-2364.030018,37.88673944999937
inside_lvliang,5,0.0,2319.546509006757,-2336.183154,16.636644993242953
inside_lvliang,6,0.0,2332.8611846752597,-2338.782686,5.921501324740348
inside_lvliang,7,0.0,2346.175860808107,-2390.845127,44.66926619189326
inside_lvliang,8,0.0,2359.4905364689366,-2493.216553,133.72601653106358
inside_lvliang,9,0.0,2506.4600430594824,-2491.179319,-15.280724059482537
inside_lvliang,10,0.0,2637.8353461881084,-2524.32334,-113.51200618810842
inside_lvliang,11,0.0,2637.8353461881084,-2441.530728,-196.3046181881082
inside_lvliang,12,0.0,2637.8353461881084,-2428.718753,-209.11659318810825
inside_lvliang,13,0.0,2637.8353461881084,-2441.246951,-196.58839518810828
inside_lvliang,14,0.0,2637.8353461881084,-2338.313229,-299.5221171881085
inside_lvliang,15,0.0,2637.8353461881084,-2315.758267,-322.0770791881082
inside_lvliang,16,0.0,2637.8353461881084,-2342.573377,-295.2619691881082
inside_lvliang,17,0.0,2637.8353461881084,-2395.105275,-242.73007118810844
inside_lvliang,18,0.0,2637.8353461881084,-2603.009954,-34.82539218810825
inside_lvliang,19,0.0,2546.783923874363,-2765.902806,219.1188821256369
inside_lvliang,20,0.0,2528.4168999000003,-2809.352111,280.9352111
inside_lvliang,21,0.0,2462.8393502999998,-2736.488167,273.6488167
inside_lvliang,22,0.0,2447.0519283,-2718.946587,271.8946587
inside_lvliang,23,0.0,2359.1742903,-2621.304767,262.1304767
inside_lvliang,24,0.0,2350.0156510387164,-2483.380726,133.36507496128343
inside_lvliang,25,0.0,2355.301886002096,-2441.535983,86.23409699790409
inside_lvliang,26,0.0,2348.6563631706913,-2424.081988,75.42562482930862
inside_lvliang,27,0.0,2341.7040369564083,-2396.420806,54.71676904359174
inside_lvliang,28,0.0,2334.7517106521664,-2364.030018,29.27830734783356
inside_lvliang,29,0.0,2327.7993845371384,-2336.183154,8.383769462861437
inside_lvliang,30,0.0,2341.9942119268135,-2338.782686,-3.211525926813465
inside_lvliang,31,0.0,2373.246125340005,-2390.845127,17.599001659994883
inside_lvliang,32,0.0,2370.3838658538807,-2493.216553,122.8326871461195
inside_lvliang,33,0.0,2505.4935084836316,-2491.179319,-14.314189483631736
inside_lvliang,34,0.0,2637.8353461881084,-2524.32334,-113.51200618810842
inside_lvliang,35,0.0,2637.8353461881084,-2441.530728,-196.3046181881082
inside_lvliang,36,0.0,2637.8353461881084,-2428.718753,-209.11659318810825
inside_lvliang,37,0.0,2637.8353461881084,-2441.246951,-196.58839518810828
inside_lvliang,38,0.0,2637.8353461881084,-2338.313229,-299.5221171881085
inside_lvliang,39,0.0,2637.8353461881084,-2315.758267,-322.0770791881082
inside_lvliang,40,0.0,2637.8353461881084,-2342.573377,-295.2619691881082
inside_lvliang,41,0.0,2637.8353461881084,-2395.105275,-242.73007118810844
