load_zone,timestamp,ZoneTotalDistributedDispatch,InjectIntoDistributedGrid,zone_demand_mw,ShiftDemand,RecoveryDemand
inside_lvliang,1,0.0,2441.535983,-2441.535983,-0.0,-0.0
inside_lvliang,2,0.0,2424.081988,-2424.081988,-0.0,-0.0
inside_lvliang,3,0.0,2396.420806,-2396.420806,-0.0,-0.0
inside_lvliang,4,0.0,2364.0301809,-2364.030018,-0.0001628999999923053,-0.0
inside_lvliang,5,0.0,2336.18323545,-2336.183154,-0.0,-8.144999999615266e-05
inside_lvliang,6,0.0,2338.782686,-2338.782686,-0.0,-0.0
inside_lvliang,7,0.0,2390.845127,-2390.845127,-0.0,-0.0
inside_lvliang,8,0.0,2493.2165530000007,-2493.216553,-0.0,-0.0
inside_lvliang,9,0.0,2491.179319,-2491.179319,-0.0,-0.0
inside_lvliang,10,0.0,2524.3233400000004,-2524.32334,-0.0,-0.0
inside_lvliang,11,0.0,2517.21818057,-2441.530728,-75.68745257,-0.0
inside_lvliang,12,0.0,2466.562479285001,-2428.718753,-0.0,-37.843726285
inside_lvliang,13,0.0,2441.2469510000005,-2441.246951,-0.0,-0.0
inside_lvliang,14,0.0,2338.3132290000003,-2338.313229,-0.0,-0.0
inside_lvliang,15,0.0,2315.7582670000006,-2315.758267,-0.0,-0.0
inside_lvliang,16,0.0,2342.573377,-2342.573377,-0.0,-0.0
inside_lvliang,17,0.0,2395.1052750000003,-2395.105275,-0.0,-0.0
inside_lvliang,18,0.0,2603.009954,-2603.009954,-0.0,-0.0
inside_lvliang,19,0.0,2765.9028060000005,-2765.902806,-0.0,-0.0
inside_lvliang,20,0.0,2733.6644955300007,-2809.352111,75.68761547,-0.0
inside_lvliang,21,0.0,2698.6443592650003,-2736.488167,-0.0,37.843807735
inside_lvliang,22,0.0,2718.946587,-2718.946587,-0.0,-0.0
inside_lvliang,23,0.0,2621.304767,-2621.304767,-0.0,-0.0
inside_lvliang,24,0.0,2483.3807260000003,-2483.380726,-0.0,-0.0
inside_lvliang,25,0.0,2441.535983,-2441.535983,-0.0,-0.0
inside_lvliang,26,0.0,2424.081988,-2424.081988,-0.0,-0.0
inside_lvliang,27,0.0,2396.420806,-2396.420806,-0.0,-0.0
inside_lvliang,28,0.0,2364.030018,-2364.030018,-0.0,-0.0
inside_lvliang,29,0.0,2336.183154,-2336.183154,-0.0,-0.0
inside_lvliang,30,0.0,2338.782686,-2338.782686,-0.0,-0.0
inside_lvliang,31,0.0,2390.845127,-2390.845127,-0.0,-0.0
inside_lvliang,32,0.0,2568.9041684700005,-2493.216553,-75.68761547,-0.0
inside_lvliang,33,0.0,2529.0231267349996,-2491.179319,-0.0,-37.843807735
inside_lvliang,34,0.0,2524.3233400000004,-2524.32334,-0.0,-0.0
inside_lvliang,35,0.0,2441.5307280000006,-2441.530728,-0.0,-0.0
inside_lvliang,36,0.0,2428.7187530000006,-2428.718753,-0.0,-0.0
inside_lvliang,37,0.0,2441.2469510000005,-2441.246951,-0.0,-0.0
inside_lvliang,38,0.0,2338.3132290000003,-2338.313229,-0.0,-0.0
inside_lvliang,39,0.0,2315.7582670000006,-2315.758267,-0.0,-0.0
inside_lvliang,40,0.0,2342.573377,-2342.573377,-0.0,-0.0
inside_lvliang,41,0.0,2395.1052750000003,-2395.105275,-0.0,-0.0
inside_lvliang,42,0.0,2603.009954,-2603.009954,-0.0,-0.0
inside_lvliang,43,0.0,2765.9028060000005,-2765.902806,-0.0,-0.0
inside_lvliang,44,0.0,2733.6644955300007,-2809.352111,75.68761547,-0.0
inside_lvliang,45,0.0,2698.6443592650003,-2736.488167,-0.0,37.843807735
inside_lvliang,46,0.0,2718.946587,-2718.946587,-0.0,-0.0
inside_lvliang,47,0.0,2621.304767,-2621.304767,-0.0,-0.0
inside_lvliang,48,0.0,2483.3807260000003,-2483.380726,-0.0,-0.0
inside_lvliang,49,0.0,2441.535983,-2441.535983,-0.0,-0.0
inside_lvliang,50,0.0,2424.081988,-2424.081988,-0.0,-0.0
inside_lvliang,51,0.0,2396.420806,-2396.420806,-0.0,-0.0
inside_lvliang,52,0.0,2364.03897799,-2364.030018,-0.008959989999993923,-0.0
inside_lvliang,53,0.0,2336.187633995,-2336.183154,-0.0,-0.004479994999996961
inside_lvliang,54,0.0,2338.782686,-2338.782686,-0.0,-0.0
inside_lvliang,55,0.0,2390.845127,-2390.845127,-0.0,-0.0
inside_lvliang,56,0.0,2493.2165530000007,-2493.216553,-0.0,-0.0
inside_lvliang,57,0.0,2491.179319,-2491.179319,-0.0,-0.0
inside_lvliang,58,0.0,2524.3233400000004,-2524.32334,-0.0,-0.0
inside_lvliang,59,0.0,2441.5307280000006,-2441.530728,-0.0,-0.0
inside_lvliang,60,0.0,2428.7187530000006,-2428.718753,-0.0,-0.0
inside_lvliang,61,0.0,2516.92560648,-2441.246951,-75.67865548,-0.0
inside_lvliang,62,0.0,2376.15255674,-2338.313229,-0.0,-37.83932774
inside_lvliang,63,0.0,2315.7582670000006,-2315.758267,-0.0,-0.0
inside_lvliang,64,0.0,2342.573377,-2342.573377,-0.0,-0.0
inside_lvliang,65,0.0,2395.1052750000003,-2395.105275,-0.0,-0.0
inside_lvliang,66,0.0,2603.009954,-2603.009954,-0.0,-0.0
inside_lvliang,67,0.0,2765.9028060000005,-2765.902806,-0.0,-0.0
inside_lvliang,68,0.0,2733.6644955300007,-2809.352111,75.68761547,-0.0
inside_lvliang,69,0.0,2698.6443592650003,-2736.488167,-0.0,37.843807735
inside_lvliang,70,0.0,2718.946587,-2718.946587,-0.0,-0.0
inside_lvliang,71,0.0,2621.304767,-2621.304767,-0.0,-0.0
inside_lvliang,72,0.0,2483.3807260000003,-2483.380726,-0.0,-0.0
inside_lvliang,73,0.0,2441.535983,-2441.535983,-0.0,-0.0
inside_lvliang,74,0.0,2424.081988,-2424.081988,-0.0,-0.0
inside_lvliang,75,0.0,2396.420806,-2396.420806,-0.0,-0.0
inside_lvliang,76,0.0,2364.030018,-2364.030018,-0.0,-0.0
inside_lvliang,77,0.0,2339.38305937,-2336.183154,-3.199905369999996,-0.0
inside_lvliang,78,0.0,2340.3826386850005,-2338.782686,-0.0,-1.599952684999998
inside_lvliang,79,0.0,2390.845127,-2390.845127,-0.0,-0.0
inside_lvliang,80,0.0,2493.2165530000007,-2493.216553,-0.0,-0.0
inside_lvliang,81,0.0,2491.179319,-2491.179319,-0.0,-0.0
inside_lvliang,82,0.0,2524.3233400000004,-2524.32334,-0.0,-0.0
inside_lvliang,83,0.0,2441.5307280000006,-2441.530728,-0.0,-0.0
inside_lvliang,84,0.0,2428.7187530000006,-2428.718753,-0.0,-0.0
inside_lvliang,85,0.0,2441.2469510000005,-2441.246951,-0.0,-0.0
inside_lvliang,86,0.0,2410.8009391,-2338.313229,-72.4877101,-0.0
